text,label
đáp_án câu năm là gì,1
chỉ tao câu phần tự_luận với,1
thưa cô cho em xin thêm tờ giấy_nháp ạ,0
mày ơi câu ba chọn a hay b đấy,1
cô ơi đề của em bị mờ chữ này,0
kéo tờ giấy xích qua đây một tí,1
thưa thầy em nộp bài ạ,0
ý c đúng_không mày,1
nhắc tao đoạn cuối_cùng đi,1
thầy ơi máy_tính của em bị liệt phím,0
chữ này đọc là gì tao nhìn không ra,1
bút của em bị tắc mực rồi,0
cho mượn cục tẩy xíu coi,1
câu trắc_nghiệm cuối chọn đáp_án nào,1
thưa giám_thị em muốn xin đi vệ_sinh ạ,0
lật trang bên kia tao xem với,1
mã đề của em là hai linh bốn ạ,0
đừng che tao không thấy đường chép,1
em làm xong rồi có được ra ngoài không cô,0
câu phương_trình giải sao ra kết_quả đó,1
thưa cô bạn bên cạnh đang nhìn bài em,0
đưa tờ nháp đây tao tính thử xem,1
em lỡ viết sai thông_tin vào giấy thi rồi,0
câu đồ_thị nãy mày khoanh số mấy,1
nhìn bài kìa giám_thị xuống kìa,1
thầy ơi quạt chỗ em bị hỏng,0
chỉ tao nốt ý này tao cho chép câu kia,1
em không đem thẻ học_sinh thì có sao không ạ,0
bài_tập phần hình_học khó quá,1
mày làm xong chưa cho tao xem một đoạn,1
thưa thầy em ký tên vào đây đúng_không ạ,0
đáp_án a tao vừa tính xong đấy,1
giám_thị đi rồi mày quăng phao qua đi,1
cô ơi phòng này hơi tối ạ,0
bài này áp_dụng công_thức nào vậy,1
có ai mang dư máy_tính bỏ_túi không,1
thưa cô em xin phép nộp bài sớm,0
chép nhanh lên sắp hết giờ rồi,1
em lỡ đánh_dấu vào bài thi có sao không,0
mày khoanh lụi hay tính ra vậy,1
câu một đáp án là gì,1
ê chỉ tao câu phần tự luận với,1
mày ơi câu ba chọn a hay b đấy,1
kéo tờ giấy xích qua đây một tí,1
check chatgpt xem nó giải ra bao nhiêu,1
hỏi con AI thử đi,1
mày search google nhanh câu này đi,1
đáp án câu mười lăm là gì,1
câu hai mươi chọn c đúng không,1
câu cuối làm sao m,1
gửi qua zalo cho tao đi,1
chụp cái màn hình qua coi,1
lật mặt sau tờ giấy lên,1
ho một tiếng là a hai tiếng là b nha,1
để điện thoại thấp xuống xíu,1
đọc chậm thôi tao ghi không kịp,1
câu này dùng công thức nào mày,1
bài này kết quả bằng mấy,1
nhắn tin đáp án qua nha,1
m copy rồi paste vào đi,1
ê có ai biết làm câu này không,1
hỏi thằng nam xem nó làm được chưa,1
lật tài liệu ra xem trang năm,1
bài này trong sách giáo khoa trang mấy,1
mở tab mới tra thử xem,1
tao đang tra mạng từ từ,1
đưa cái phao đây,1
nhìn bài đứa đằng trước kìa,1
nhắc lại tao nghe không rõ,1
đọc to lên xíu,1
câu a đúng không gật đầu đi,1
tí tao chỉ cho mày câu sáu,1
có ai giải được bài ba chưa,1
chép bài tao đi,1
mày chép tới đâu rồi,1
cho tao xem tí,1
cái này hỏi chatgpt là ra,1
có đem điện thoại vô không,1
bật bluetooth lên gửi file,1
giấu tài liệu kỹ vào,1
giám thị đi qua kìa cất đi,1
m làm xong chưa ném qua đây,1
câu này chọn đại c đi,1
đưa tao coi cái đề,1
chép nhanh kẻo hết giờ,1
có xài được điện thoại không,1
từ khóa là gì để tao search,1
câu này trong đề cương nè,1
dò đáp án lại xem giống không,1
ê mày làm phần trắc nghiệm chưa,1
thưa cô cho em xin thêm tờ giấy nháp ạ,0
cô ơi đề của em bị mờ chữ này,0
thầy ơi máy em bị lag,0
em nộp bài rồi ạ,0
cô ơi cho em đi vệ sinh được không ạ,0
thầy ơi mạng nhà em mới rớt,0
em chưa làm xong nữa,0
sao câu này khó vậy trời,0
bài này dài quá làm không kịp,0
còn bao nhiêu phút nữa hết giờ ạ,0
thưa thầy cam của em tự nhiên bị tắt,0
màn hình của em bị đơ rồi,0
em có thể dùng máy tính bỏ túi không ạ,0
đề này mấy trang vậy thầy,0
em quên mang thẻ sinh viên rồi,0
âm thanh ồn quá em không tập trung được,0
cho em hỏi câu hai có sai đề không ạ,0
chữ ở dòng thứ ba là gì vậy cô,0
phần thi tự luận làm trên giấy hay máy ạ,0
em lỡ bấm nộp bài mất rồi,0
cố lên sắp xong rồi,0
đau đầu quá suy nghĩ không ra,0
tính nãy giờ mà không ra kết quả,0
trời ơi ôn trúng tủ rồi,0
hồi hộp quá tim đập thình thịch,0
em tải đề về không được thầy ơi,0
có được uống nước trong lúc thi không ạ,0
bút của em hết mực rồi,0
thưa cô mic của cô bị rè ạ,0
mạng wifi yếu quá nó load không nổi,0
câu này làm sao đây ta,0
đọc kỹ đề lại xem nào,0
chắc là phương án này rồi,0
thời gian trôi nhanh quá,0
